"# Supplementary table 1. Estimated WBC subtype proportions for the samples in WBC-Neu dataset. Houseman's celltype decomposition method with ""extended cell deconvolution"" reference by Salas et al.",,,,,,,,,,,,
id,tcd4n,tcd4m,tcd8n,tcd8m,treg,bn,bm,nk,bas,eos,neu,mono
WBCminusNeu52yo_CT43,0.0448,0.1605,0,0.2362,0.0165,0.0478,0.0328,0.023,0.014,0.1493,0.1157,0.1306
WBCminusNeu52yo_CT43_R1,0.0366,0.1852,0,0.2245,0,0.0361,0.0327,0.0284,0.0059,0.1514,0.1211,0.1313
WBCminusNeu52yo_CT46,0.0252,0.1664,0,0.2668,0.0189,0.0309,0.0383,0.0557,0.0156,0.1188,0.1163,0.1238
WBCminusNeu52yo_CT46_R1,0.0237,0.1885,0,0.2582,0,0.0204,0.0381,0.0529,0.0072,0.1203,0.115,0.1296
WBCminusNeu52yo_CT49,0.0632,0.14,0,0.2503,0.0375,0.0457,0.0332,0.0311,0.0133,0.1466,0.1076,0.1102
WBCminusNeu52yo_CT49_R1,0.0462,0.1931,0,0.2427,0,0.0441,0.0313,0.0296,0,0.1477,0.1083,0.1114
WBCminusNeu52yo_CT55,0.033,0.1551,0,0.2507,0.0169,0.0353,0.0292,0.0394,0.0212,0.1512,0.1206,0.1299
WBCminusNeu52yo_CT55_R1,0.0296,0.1718,0,0.245,0,0.0205,0.0327,0.0404,0,0.1597,0.1211,0.1253
WBCminusNeu52yo_CT58,0,0.1033,0,0.3327,0.0197,0.0228,0.034,0.0689,0.018,0.138,0.1112,0.1275
WBCminusNeu52yo_CT58_R1,0,0.128,0,0.3251,0,0.0192,0.035,0.0732,0.0127,0.1385,0.1111,0.1244
WBCminusNeu52yo_CT61,0,0.1002,0,0.2414,0.0174,0.0266,0.031,0.0612,0.0249,0.0638,0.2738,0.1372
WBCminusNeu52yo_CT61_R1,0,0.1245,0,0.2329,0.0017,0.0219,0.0266,0.063,0.0162,0.0681,0.2686,0.1434
WBCminusNeu52yo_CT64,0.0044,0.1531,0,0.2927,0.0202,0.0363,0.0362,0.0594,0.0251,0.05,0.1725,0.1321
WBCminusNeu52yo_CT64_R1,0,0.1639,0,0.3029,0.0051,0.033,0.0347,0.0587,0.0198,0.0544,0.1736,0.131
WBCminusNeu52yo_CT67,0.0032,0.1519,0,0.266,0.0154,0.0333,0.0321,0.0537,0.0147,0.0737,0.1983,0.1372
WBCminusNeu52yo_CT67_R1,0,0.1477,0,0.2676,0.0173,0.032,0.0306,0.052,0.0128,0.0797,0.2012,0.1348
WBCminusNeu52yo_CT70,0.0359,0.1659,0,0.2601,0.0242,0.0442,0.033,0.0337,0.0227,0.099,0.1506,0.112
WBCminusNeu52yo_CT70_R1,0.0341,0.2043,0,0.2483,0.0034,0.0392,0.0333,0.0421,0.0093,0.0986,0.1482,0.1154
WBCminusNeu52yo_CT73,0.0439,0.1766,0,0.2363,0.0161,0.0402,0.0354,0.026,0.0134,0.1266,0.1284,0.1321
WBCminusNeu52yo_CT73_R1,0.0482,0.1823,0,0.2297,0.0042,0.0368,0.0319,0.0271,0.0052,0.132,0.1276,0.1332
WBCminusNeu52yo_CT76,0.0455,0.1843,0,0.2462,0.0119,0.0477,0.033,0.0302,0.0168,0.1311,0.1014,0.1253
WBCminusNeu52yo_CT76_R1,0.0426,0.1824,0,0.2562,0.0093,0.0487,0.0325,0.0288,0.0094,0.1287,0.1069,0.1215
WBCminusNeu52yo_CT79,0.0292,0.1575,0,0.2611,0.0188,0.0358,0.0302,0.0451,0.0168,0.1141,0.1329,0.1357
WBCminusNeu52yo_CT79_R1,0.0307,0.1502,0,0.2701,0.0137,0.03,0.0335,0.0461,0.0181,0.1176,0.1311,0.1333
WBCminusNeu52yo_CT85,0,0.143,0,0.3063,0.0082,0.0295,0.0354,0.0616,0.0162,0.092,0.1395,0.1483
WBCminusNeu52yo_CT85_R1,0,0.1502,0,0.3054,0,0.0212,0.032,0.0588,0.0059,0.0962,0.1383,0.1539
